Herbivores;C_mg/g;N_mg/g;Hemicellulose_mg/g;Cellulose_mg/g;ADL_mg/g;ADL/N;feces_ID
Cattle;396.683;22.061;168.649;108.776;159.403;7.226;1
Cattle;392.54;22.415;181.479;116.676;167.573;7.476;2
Cattle;396.541;22.926;154.372;75.214;200.655;8.752;3
Cattle;397.343;22.764;180.63;93.534;184.274;8.095;4
Cattle;398.555;22.796;151.242;123.142;164.91;7.234;5
Sheep;355.298;24.218;156.012;20.904;223.844;9.243;6
Sheep;356.91;23.874;138.875;44.46;203.255;8.514;7
Sheep;358.154;24.507;139.503;38.967;214.327;8.746;8
Sheep;353.779;24.163;141.21;23.081;212.471;8.793;9
Sheep;358.922;24.29;146.854;31.707;217.816;8.967;10
