frass P;frass N;feces_ID
0.466762547;7.451933506;1
0.670972825;10.65060692;2
0.580032651;15.89173477;3
0.596168747;18.77553193;4
0.99671894;16.41562088;5
1.137862728;13.38976088;6
1.319469356;13.03646422;7
1.238313674;16.20247673;8
1.215576968;17.57430618;9
0.797041177;25.49123352;10
0.881393095;24.04852234;11
1.184641057;22.35769659;12
0.884189207;40.57839224;13
1.259136251;25.66302049;14
1.379159983;24.18482567;15
1.421311706;24.360305;16
1.351646506;22.32105821;17
1.449028572;18.69769318;18
1.533367184;17.74736195;19
1.619278728;18.59068629;20
1.612805471;18.13353336;21
1.560840744;21.08826928;22
1.504059329;22.28454813;23
1.701862879;22.56416885;24
1.807368117;18.3428426;25
1.870572417;19.4677265;26
1.886637231;24.98927341;27
1.870331962;28.36573565;28
1.800610687;28.40151866;29
1.696789579;30.30161088;30
1.706482832;31.60281522;31
1.560484339;34.27701802;32
1.809970345;42.04739182;33
2.074489967;33.49875888;34
2.327704439;23.29723589;35
2.43630897;24.38655062;36
2.619563614;23.0484798;37
2.324243038;31.38636363;38
2.395581915;31.49124635;39
2.475081029;29.62653797;40
2.548016597;30.64582635;41
2.611154368;34.23261001;42
2.456979481;39.47429385;43
2.671120614;35.18167244;44
2.705139662;36.30681296;45
2.757171868;30.85500728;46
2.660432281;10.70345458;47
2.762539796;12.2148663;48
2.609098627;50.30531273;49
2.901203008;40.98269751;50
3.19956205;40.20633445;51
3.243351333;39.78390957;52
3.326138873;36.23101285;53
3.238716174;31.30798315;54
