"r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","isConv","finTol","element"
0.293410912336807,0.293126570651631,19.0682354766329,1031.89552441053,1.14810374458346e-189,1,-10859.6351356874,21725.2702713749,21742.7267687063,903540.046417915,2485,2487,NA,NA,"N"
NA,NA,18.8374396918373,NA,NA,NA,-10829.3496331927,21664.6992663854,21682.1557637168,881800.098346868,2485,2487,TRUE,8.3322806231125e-08,"N"
0.167729306426435,0.163371868240186,28.9566758167693,38.4926416066547,3.33647697338011e-09,1,-922.449469175828,1850.89893835166,1860.68700891837,160151.413202277,191,193,NA,NA,"P"
NA,NA,26.4738914551505,NA,NA,NA,-905.148610196766,1816.29722039353,1826.08529096025,133865.583396806,191,193,TRUE,5.25849587070264e-09,"P"
0.0596494253913275,0.0469419851939129,25.0607289308051,4.6940551727691,0.0334871765543828,1,-351.644889905946,709.289779811893,716.281979832752,46474.9699562036,74,76,NA,NA,"K"
NA,NA,23.781094298932,NA,NA,NA,-347.661644128817,701.323288257635,708.315488278494,41849.9930080476,74,76,TRUE,5.6082675972018e-08,"K"
0.0747144702453712,0.0702659821215509,22.4525291245933,16.7954748143077,5.96642971823326e-05,1,-950.366984998945,1906.73396999789,1916.77529259004,104856.141330867,208,210,NA,NA,"Ca"
NA,NA,23.2021237388377,NA,NA,NA,-957.263500755751,1920.5270015115,1930.56832410365,111974.417566406,208,210,TRUE,1.08641937253795e-08,"Ca"
0.0543702232902815,0.0426957816025072,35.2887135831125,4.65720115311545,0.0338849338799869,1,-412.535397247527,831.070794495054,838.327316318443,100868.757814427,81,83,NA,NA,"Mg"
NA,NA,35.9662613020977,NA,NA,NA,-414.113901927832,834.227803855665,841.484325679054,104779.328116112,81,83,TRUE,6.86224393477783e-09,"Mg"
0.223750043871078,0.211428615996016,47.5385351113719,18.1594248767168,6.91772201386152e-05,1,-342.215439091357,690.430878182713,696.9540399924,142374.476193714,63,65,NA,NA,"Na"
NA,NA,30.0254548250571,NA,NA,NA,-312.348255538518,630.696511077036,637.219672886723,56796.2600594474,63,65,TRUE,2.22401410944361e-09,"Na"
